Year,Company,sentiment_score_positive,sentiment_score_negative,sentiment_score_polarity,sentiment_score_subjectivity,similarity_score,nlp_result
2012,MCD,230.0,92.0,0.42857142724046143,0.04611859065509616,0.9100036886069931,0
2012,MMM,200.0,210.0,-0.024390243842950625,0.048383290058014713,0.9926765913795247,0
2012,MRK,366.0,642.0,-0.2738095235378874,0.07021943573178548,0.9950619130586786,0
2012,MSFT,118.0,153.0,-0.1291512910363421,0.041405653164032746,0.9852862999089124,0
2012,NKE,178.0,274.0,-0.21238938006108543,0.04939890709842635,0.9127097065427053,0
2012,NVDA,129.0,269.0,-0.3517587930860332,0.06594863296338879,0.9898401598622656,0
2012,PG,232.0,332.0,-0.1773049642246366,0.060808625330371034,0.994738981577272,0
2012,SHW,1.0,0.0,0.9999990000010001,0.037037035665294975,0.8159466395833376,0
2012,TRV,394.0,1797.0,-0.6403468732814482,0.10450751251588325,0.9966114308211343,0
2012,UNH,185.0,222.0,-0.09090909068572706,0.05774687853891219,0.991782821066822,0
2012,V,101.0,202.0,-0.3333333322332233,0.05482178395968486,0.9930160946754956,0
2012,VZ,1.0,0.0,0.9999990000010001,0.032258063475546335,0.9460910367114871,0
2012,WMT,3.0,0.0,0.9999996666667778,0.07894736634349037,0.9507163751242439,0
2013,AAPL,80.0,154.0,-0.31623931488786616,0.049555273178832,0.9940386387068265,0
2013,AMGN,114.0,131.0,-0.06938775481882549,0.04744384197377152,0.991978001375108,0
2013,AMZN,115.0,109.0,0.026785714166135205,0.05534964169623187,0.863500580564801,0
2013,AXP,1.0,0.0,0.9999990000010001,0.041666664930555625,0.9653300455675835,0
2013,BA,167.0,288.0,-0.26593406534959546,0.06853441782368815,0.9858452297556939,0
2013,CAT,1.0,1.0,0.0,0.040816325697626006,1.0000000000000002,0
2013,CRM,181.0,237.0,-0.13397129154552323,0.061570187058245664,0.9973059300725866,0
2013,CSCO,137.0,412.0,-0.5009107458999804,0.05952510028629241,0.991369185232968,0
2013,CVX,0.0,0.0,0.0,0.0,1.0000000000000004,0
2013,DIS,135.0,209.0,-0.21511627844442943,0.04631749023208328,0.9961351130607581,0
2013,GS,366.0,905.0,-0.4240755307442364,0.0545751212995588,0.9979309045235596,0
2013,HD,75.0,62.0,0.09489051025627365,0.046598639439932435,0.9841699167568317,0
2013,HON,235.0,286.0,-0.09788867543591426,0.059583714540303784,0.9990249657737522,0
2013,IBM,0.0,0.0,0.0,0.0,0.8650913586232457,0
2013,JNJ,1.0,0.0,0.9999990000010001,0.027777777006172864,0.9999999999999999,0
2013,JPM,1.0,0.0,0.9999990000010001,0.031249999023437534,0.9731157095617312,0
2013,KO,429.0,440.0,-0.012658227833534836,0.05963900898636751,0.9935585837192408,0
2013,MCD,165.0,104.0,0.22676579841351005,0.04372561767819804,0.9949594333081632,0
2013,MMM,210.0,192.0,0.04477611929160169,0.0476642162618373,0.9931131536871378,0
2013,MRK,376.0,668.0,-0.27969348632213265,0.0732785849601124,0.9478664313049496,0
2013,MSFT,139.0,149.0,-0.03472222210165895,0.04367606914715255,0.9819354043346102,0
2013,NKE,156.0,254.0,-0.23902438966091613,0.04488723450351574,0.9888829814194646,0
2013,NVDA,118.0,232.0,-0.3257142847836735,0.061018131091175355,0.9907845096009805,0
2013,PG,251.0,314.0,-0.1115044245814081,0.061259893737259034,0.9950492422100266,0
2013,SHW,1.0,0.0,0.9999990000010001,0.037037035665294975,0.9836716119338127,0
2013,TRV,395.0,1789.0,-0.6382783879861363,0.10276196301215067,0.8851698786332113,0
2013,UNH,195.0,199.0,-0.010152284238192172,0.058885069487537724,0.9934266166786864,0
2013,V,106.0,222.0,-0.3536585355071386,0.05519098097674727,0.9931100344358991,0
2013,VZ,1.0,0.0,0.9999990000010001,0.032258063475546335,0.9460910367114871,0
2013,WMT,3.0,0.0,0.9999996666667778,0.07894736634349037,0.984918288525171,0
2014,AAPL,94.0,159.0,-0.25691699503194865,0.05853771400774231,0.9934840620004539,0
2014,AMGN,141.0,151.0,-0.034246575225182964,0.052320372683691024,0.9899412683830533,0
2014,AMZN,115.0,126.0,-0.045643153337580275,0.05198446935893346,0.9923438627491008,0
2014,AXP,1.0,0.0,0.9999990000010001,0.041666664930555625,0.8994332406531356,0
2014,BA,157.0,303.0,-0.317391303657845,0.0684218354799313,0.9902184588465827,0
2014,CAT,1.0,1.0,0.0,0.040816325697626006,1.0000000000000002,0
2014,CRM,225.0,267.0,-0.08536585348502876,0.060680809069970296,0.8876643975998219,0
2014,CSCO,128.0,379.0,-0.49506903255410445,0.05583700439913689,0.993764282600212,0
2014,CVX,0.0,0.0,0.0,0.0,1.0000000000000004,0
2014,DIS,150.0,215.0,-0.17808219129292552,0.04915162940356159,0.9974086191825751,0
2014,GS,364.0,839.0,-0.3948462174606432,0.05491646124098802,0.991251861529198,0
2014,HD,85.0,145.0,-0.2608695640831758,0.06428172161423093,0.970990214195477,0
2014,HON,115.0,149.0,-0.12878787830004593,0.056253995300180264,0.9963609302981888,0
2014,IBM,0.0,0.0,0.0,0.0,0.8650913586232457,0
2014,JNJ,1.0,0.0,0.9999990000010001,0.027777777006172864,0.9999999999999999,0
2014,JPM,1.0,0.0,0.9999990000010001,0.031249999023437534,0.9599394518196488,0
2014,KO,396.0,424.0,-0.03414634142177275,0.05844618673852842,0.9972103969421027,0
